ue_por_1k_log,alumbrado_por_1k_log,delitos_por_1k_log,hogares_por_1k_log,colonia_hog,ue_por_km2,delitos_por_km2,hogares_km2,alumbrado_por_km2,cluster_kmeans,alcaldia
6.696482907203372,5.563299079591043,0.5042608317494267,8.080024482901983,10 DE ABRIL,808.5535373126603,0.6557611819242987,3228.3122986133226,259.6814280420223,2,MIGUEL HIDALGO
6.696482907203372,5.563299079591043,3.2799591121186493,8.080024482901983,10 DE MAYO,808.5535373126603,25.574686095047646,3228.3122986133226,259.6814280420223,0,CUAJIMALPA DE MORELOS
6.696482907203372,5.563299079591043,3.2799591121186493,8.080024482901983,10 DE MAYO,808.5535373126603,25.574686095047646,3228.3122986133226,259.6814280420223,0,VENUSTIANO CARRANZA
7.215094699175873,4.721861503283045,4.528039098863876,7.786031975306455,10 DE MAYO,1358.8024341577407,91.57684893230673,2405.7485719514098,111.37724870145415,0,CUAJIMALPA DE MORELOS
7.215094699175873,4.721861503283045,4.528039098863876,7.786031975306455,10 DE MAYO,1358.8024341577407,91.57684893230673,2405.7485719514098,111.37724870145415,0,VENUSTIANO CARRANZA
6.696482907203372,5.563299079591043,3.6302600785590835,8.080024482901983,12 DE DICIEMBRE,808.5535373126603,36.722626187760724,3228.3122986133226,259.6814280420223,0,IZTAPALAPA
6.547596369641821,5.072223797112359,2.735126917719907,8.272871538328745,15 DE AGOSTO,696.5654675947578,14.411699329546712,3915.1783178601904,158.52869262501383,2,GUSTAVO A. MADERO
6.794133646007511,4.0866333472909915,2.674770839052786,7.795799987987462,16 DE SEPTIEMBRE,891.5956207476389,13.509024556782407,2429.372916128036,58.53910641272376,2,MIGUEL HIDALGO
6.195653654368505,4.52198009273341,2.5263664477033316,7.6823581133806425,19 DE MAYO,489.61203090765724,11.507975085436387,2168.7302138281484,91.01762113026962,2,ALVARO OBREGON
4.728676118015325,5.621366517295385,1.8967083216446698,8.142277339490184,1A AMPLIACION SANTIAGO ACAHUALTEPEC,112.14567163542264,5.663922809869831,3435.735576467039,275.26664855967374,2,IZTAPALAPA
4.728676118015325,5.621366517295385,1.8967083216446698,8.142277339490184,1A AMPLIACION SANTIAGO ACAHUALTEPEC,112.14567163542264,5.663922809869831,3435.735576467039,275.26664855967374,2,TLAHUAC
6.547664193550117,5.60085071206132,3.0822233774525953,8.648438985717583,1A AMPLIACION SANTIAGO ACAHUALTEPEC,696.6127808155285,20.80683335769201,5700.240066673304,269.65656031568847,0,IZTAPALAPA
6.547664193550117,5.60085071206132,3.0822233774525953,8.648438985717583,1A AMPLIACION SANTIAGO ACAHUALTEPEC,696.6127808155285,20.80683335769201,5700.240066673304,269.65656031568847,0,TLAHUAC
6.964363486603042,5.229672012275993,3.359693200221802,8.34994887328997,1RA VICTORIA,1057.2411183587972,27.780359716635058,4228.964473435189,185.7315478197887,0,ALVARO OBREGON
6.926733104801933,4.995242745897695,3.4850450316726733,8.610302587260287,1RA VICTORIA SECCION BOSQUES,1018.1590493504319,31.623896185396063,5486.908997940368,146.70879673637347,0,ALVARO OBREGON
6.551411402883894,5.233575142324343,2.6658634795332303,8.731188775514205,2 DE OCTUBRE,699.2317858546469,13.38036133425559,6192.0859258461505,186.46180956123916,0,TLALPAN
6.714403237940694,5.44346208846242,3.7745727405734204,8.6418841672936,20 DE NOVIEMBRE,823.191773730505,42.57888484812957,5662.9916848012335,230.24137732692287,0,VENUSTIANO CARRANZA
6.337025319916744,4.373855807582783,4.30576271358481,6.942356455153217,24 DE ABRIL,564.1127789095489,73.12573059938597,1034.206761334173,78.34899707077068,2,VENUSTIANO CARRANZA
7.330523632404377,5.234715821066041,2.925983114463933,8.244336189630271,25 DE JULIO,1525.1807204748204,17.652554635125238,3805.0081516012447,186.6757652664494,0,GUSTAVO A. MADERO
7.317069190230632,6.271951329125404,3.1364170109825755,9.314012003211706,2A AMPLIACION SANTIAGO ACAHUALTEPEC I,1504.7843289417865,22.021234082074923,11091.36156600507,528.5096179697981,0,IZTAPALAPA
7.317069190230632,6.271951329125404,3.942887329135518,9.314012003211706,3 DE MAYO,1504.7843289417865,50.56727826254242,11091.36156600507,528.5096179697981,0,TLAHUAC
7.317069190230632,6.271951329125404,3.942887329135518,9.314012003211706,3 DE MAYO,1504.7843289417865,50.56727826254242,11091.36156600507,528.5096179697981,0,XOCHIMILCO
6.9353241051490215,5.833038180069173,0.8250907448104658,9.283676538881,3 DE MAYO,1026.952362693446,1.2820878435623546,10759.92222709706,340.39432246580515,2,TLAHUAC
6.9353241051490215,5.833038180069173,0.8250907448104658,9.283676538881,3 DE MAYO,1026.952362693446,1.2820878435623546,10759.92222709706,340.39432246580515,2,XOCHIMILCO
6.547664193550117,5.60085071206132,2.9165667654700256,8.648438985717583,5 DE MAYO,696.6127808155285,17.47774002046129,5700.240066673304,269.65656031568847,0,MIGUEL HIDALGO
7.109071012154784,5.3811042246890395,4.554822910123413,8.66353586616379,5TO TRAMO DE 20 DE NOVIEMBRE,1222.0108559680702,94.08991428325582,5786.963989563079,216.26204913720645,0,VENUSTIANO CARRANZA
6.680617465586594,5.438245718118115,2.1457374012552637,8.614240891637355,6 DE JUNIO,795.8109634985772,7.548342472208727,5508.564669290152,229.0382772995905,2,GUSTAVO A. MADERO
5.928124362376402,4.668395829559372,2.5134097942827602,7.6977772025725715,7 DE JULIO,374.4496455117322,11.346958954900977,2202.4447331462793,105.52671828057908,2,VENUSTIANO CARRANZA
